clade_name	SLMC2	CGH1	CGH2	UST4	UST1	SLMC5	SLMC6	CGH6	CGH5	UST5	UST2	SLMC4	UST3	CGH3	UST6	SLMC1	SLMC3	CGH4
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae	0.12445	1.24051	9.74841	0.88798	1.34969	1.96492	0.73219	0.46707	1.21084	0.92063	2.30991	2.1176	0.87629	2.97567	0.85968	0.38358	0.2019	0.79135
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae	0.10783	0.43736	0.3124	0.03716	0.78283	0.12066	0.19315	0.55606	0.47949	0.01071	0.04446	0.0678	0.01611	0.51632	0.04095	1.33748	0.04402	0.3502
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	0.1064	0.29836	0.0592	1.35265	0.39918	0.43351	0.00827	0.28085	0.2208	0.0	0.00747	0.05197	0.01636	0.0	0.40019	0.0	0.09453	0.84965
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae	0.07247	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00132	0.0037	0.0	0.0	0.00185
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptomycetales|f__Streptomycetaceae	0.06756	0.0	0.0	0.0	0.2815	0.0	0.04627	0.0	0.0	0.1203	0.0	0.0	0.0	0.0	0.01245	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	0.06202	0.16753	0.13395	0.21582	0.94152	0.11581	0.18881	0.17069	0.10945	0.13459	0.55638	0.09974	0.29092	0.14568	0.17149	0.28892	0.0629	0.17473
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	0.05517	0.10682	0.12656	0.90974	0.0	0.37534	0.01147	0.04764	0.77804	0.24037	0.15513	0.82576	0.16809	0.1535	0.0164	0.01827	0.21877	0.61841
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Chelatococcaceae	0.05316	0.00238	0.02117	0.00309	0.0	0.00399	0.0	0.0	0.00651	0.0056	0.01619	0.00272	0.07831	0.08667	0.0	0.0	0.0	0.00716
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae	0.05253	0.01622	0.08004	0.0167	0.0	0.22302	0.04991	0.00047	0.07331	0.0	0.0	0.11428	0.0	0.04199	0.012	0.0	0.00437	0.14716
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	0.04974	0.3074	0.09887	0.0	0.0	0.56156	0.08658	0.13882	0.31475	0.06247	0.01751	0.26255	0.11999	0.09909	0.04708	0.18568	0.03651	0.32045
k__Bacteria|p__Bacteroidota|c__CFGB343|o__OFGB343|f__FGB343	0.04415	0.02987	0.0	0.0	0.0	0.19287	0.0	0.03208	0.07846	0.0	0.0	0.04141	0.0	0.17451	0.0	0.01727	0.02422	0.07776
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae	0.04021	0.04727	0.0173	0.02909	0.01103	0.08177	0.0	0.00607	0.01165	0.0	0.03516	0.06663	0.00442	0.0	0.0395	0.0	0.02016	0.14848
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae	0.03513	0.03112	0.01817	0.01235	0.0	0.17919	0.0	0.01714	0.05822	0.0	0.01821	0.1119	0.0179	0.02672	0.01138	0.0	0.03458	0.11149
